product_category,customer_state,total_sales_revenue,quantity_sold
"Furniture office",RO,1087.86,6
"Hygiene diapers",SP,1087.69,31
"Construction Tools Construction",DF,1085.94,11
"Casa Construcao",MT,1085.28,7
drinks,RS,1073.44,18
"Construction Tools Tools",RJ,1072.68,9
"SIGNALIZATION AND SAFETY",GO,1071.34,6
"Fashion Underwear and Beach Fashion",MG,1070.8,18
"Agro Industria e Comercio",SC,1069.98,3
"Fashion Calcados",PR,1067.02,18
"Bags Accessories",PB,1066.49,7
"CONSTRUCTION SECURITY TOOLS",MT,1063.59,4
"Fashion Men's Clothing",PR,1061.28,12
toys,AL,1053.07,12
"Furniture Kitchen Service Area Dinner and Garden",PE,1051.88,4
"HEALTH BEAUTY",RR,1050.61,7
"SIGNALIZATION AND SAFETY",PB,1050,6
NULL,MT,1042.4,12
"Fashion Bags and Accessories",MS,1030.58,14
"IMAGE IMPORT TABLETS",ES,1026.79,4
"Fashion Calcados",GO,1022.3,7
"home appliances",MT,1022.29,8
housewares,AL,1020.36,10
"CITTE AND UPHACK FURNITURE",RJ,1019.99,8
song,RJ,1017.85,8
"General Interest Books",BA,1017.7,15
"ELECTRICES 2",TO,1016.98,3
"CONSTRUCTION SECURITY TOOLS",PE,1016.18,4
"Construction Tools Garden",RS,1012.98,7
"Construction Tools Illumination",ES,1012.3,9
"bed table bath",TO,1010.83,10
"Furniture office",AL,1009.84,7
"musical instruments",PB,1007.8,4
"Bags Accessories",AL,999.36,6
"Construction Tools Garden",PE,995.54,6
foods,BA,991.41,18
babies,RR,988.87,2
